PV-Aw	
4.498596	5.350037
4.580994	5.286316
4.545837	5.453308
4.386536	5.3797
4.570007	5.424744
4.489807	5.509338
4.506287	5.270935
4.596375	5.218201
4.701843	5.288513
4.435974	5.318176
4.574402	5.174255
4.500793	5.208313
4.46344	5.358826
4.627136	5.336853
4.460144	5.362122
4.585388	5.406067
4.39093	5.195129
4.404114	5.404968
4.433777	5.420349
4.666687	5.434631
4.508484	5.453308
4.492004	5.423645
4.435974	5.308289
4.563416	5.2995
4.663391	5.333557
4.557922	5.306091
4.461243	5.536804
4.437073	5.250061
4.505188	5.396179
4.452454	5.44342
4.327209	5.332458
4.408508	5.288513
4.456848	5.441223
4.59967	5.412659
4.419495	5.289612
4.572205	5.436829
4.576599	5.244568
4.540344	5.458801
4.190979	5.352234
4.305237	5.259949
4.589783	5.377502
4.474426	5.302795
4.508484	5.10614
4.387634	5.348938
4.473328	5.291809
4.475525	5.523621
4.468933	5.464294
4.409607	5.41925
4.551331	5.356628
4.440369	5.373108
4.368958	5.353333
4.580994	5.348938
4.556824	5.220398
4.565613	5.181946
4.695251	5.400574
4.372253	5.359924
4.488708	5.365417
4.555725	5.359924
4.478821	5.522522
4.510681	5.247864
4.539246	5.447815
4.457947	5.375305
4.420593	5.392883
4.476624	5.46759
4.571106	5.398376
4.563416	5.424744
4.319519	5.497253
4.017395	5.413757
4.287659	5.499451
4.668884	5.239075
4.497498	5.304993
4.643616	5.27533
4.660095	5.340149
4.429382	5.22699
4.481018	5.38739
4.499695	5.351135
4.472229	5.524719
4.443665	5.426941
4.355774	5.574158
4.285461	5.303894
4.497498	5.286316
4.500793	5.408264
4.408508	5.442322
4.59198	5.40387
4.532654	5.466492
4.479919	5.488464
4.51947	5.386292
4.437073	5.495056
4.442566	5.496155
4.586487	5.41925
4.375549	5.413757
4.523865	5.476379
4.524963	5.303894
4.517273	5.481873
4.348083	5.56427
4.589783	5.153381
4.538147	5.377502
4.357971	5.415955
4.435974	5.31488
4.604065	5.396179
4.660095	5.318176
4.508484	5.490662
4.570007	5.247864
4.475525	5.523621
4.572205	5.466492
4.473328	5.255554
4.48761	5.291809
4.529358	5.362122
4.624939	5.256653
4.433777	5.214905
4.478821	5.366516
4.552429	5.240173
4.496399	5.624695
4.565613	5.433533
4.512878	5.166565
4.574402	5.421448
4.545837	5.25885
4.556824	5.199524
4.401917	5.399475
4.454651	5.247864
4.435974	5.287415
4.505188	5.413757
4.550232	5.448914
4.571106	5.265442
4.645813	5.223694
4.510681	5.237976
4.657898	5.284119
4.493103	5.507141
4.577698	5.373108
4.612854	5.315979
4.467834	5.447815
4.539246	5.445618
4.417297	5.442322
4.680969	5.289612
4.461243	5.235779
4.497498	5.276428
4.582092	5.328064
4.43158	5.551086
4.533752	5.463196
4.524963	5.250061
4.572205	5.334656
4.551331	5.145691
4.482117	5.400574
4.498596	5.295105
4.522766	5.468689
4.344788	5.351135
4.331604	5.243469
4.1745	5.343445
4.577698	5.352234
4.327209	5.631287
4.549133	5.513733
4.31073	5.361023
4.59967	5.341248
4.711731	5.392883
4.485413	5.367615
4.51947	5.479675
4.572205	5.388489
4.602966	5.322571
4.297546	5.402771
4.539246	5.304993
4.644714	5.347839
4.64032	5.315979
4.498596	5.306091
4.47113	5.545593
4.54364	5.369812
4.612854	5.386292
4.393127	5.335754
4.449158	5.29071
4.488708	5.318176
4.400818	5.337952
4.557922	5.221497
4.44696	5.413757
4.548035	5.452209
4.479919	5.219299
4.44696	5.336853
4.611755	5.237976
4.593079	5.433533
4.594177	5.156677
4.004211	5.525818
4.409607	5.488464
4.59198	5.335754
4.343689	5.482971
4.54364	5.452209
4.617249	5.3797
4.5755	5.315979
4.586487	5.397278
4.59198	5.321472
4.418396	5.250061
4.513977	5.557678
4.637024	5.244568
4.700745	5.278625
4.440369	5.340149
4.680969	5.12262
4.323914	5.285217
4.608459	5.408264
4.518372	5.414856
4.339294	5.255554
4.580994	5.392883
4.579895	5.374207
4.631531	5.332458
4.272278	5.463196
4.638123	5.356628
4.464539	5.38739
4.602966	5.232483
4.528259	5.340149
4.544739	5.412659
4.465637	5.310486
4.582092	5.417053
4.461243	5.493958
4.488708	5.242371
4.561218	5.33905
4.578796	5.378601
4.151428	5.478577
4.589783	5.342346
4.512878	5.347839
4.348083	5.364319
4.502991	5.448914
4.520569	5.351135
4.512878	5.487366
4.58429	5.471985
4.331604	5.35553
4.650208	5.237976
4.624939	5.291809
4.618347	5.198425
4.668884	5.407166
4.578796	5.420349
4.385437	5.265442
4.377747	5.48407
4.655701	5.344543
4.571106	5.265442
4.45575	5.347839
4.381042	5.389587
4.571106	5.28302
4.638123	5.287415
4.355774	5.658752
4.54364	5.446716
4.546936	5.302795
4.632629	5.366516
4.557922	5.295105
4.459045	5.395081
4.566711	5.237976
4.534851	5.418152
4.348083	5.48407
4.437073	5.370911
4.382141	5.400574
4.679871	5.28302
4.467834	5.531311
4.626038	5.393982
4.638123	5.362122
4.518372	5.216003
4.573303	5.454407
4.530457	5.439026
4.580994	5.224792
4.301941	5.325867
4.36676	5.378601
4.420593	5.208313
4.673279	5.257751
4.590881	5.187439
4.687561	5.315979
4.579895	5.41925
4.669983	5.329163
4.542542	5.255554
4.4953	5.502747
4.568909	5.139099
4.494202	5.354431
4.557922	5.404968
4.557922	5.457703
