Instance(0): 	 3.744934 4.502991 0.989264 
Instance(1): 	 3.939392 4.263489 1.000000 
Instance(2): 	 3.565857 4.641418 0.957543 
Instance(3): 	 3.942688 4.281067 1.000000 
Instance(4): 	 3.737244 4.283264 0.999996 
Instance(5): 	 3.859192 4.588684 0.936284 
Instance(6): 	 3.718567 4.456848 0.996210 
Instance(7): 	 3.994324 4.396423 0.999346 
Instance(8): 	 3.888855 4.389832 0.999492 
Instance(9): 	 3.434021 4.240417 0.968405 
Instance(10): 	 3.559265 4.187683 0.997006 
Instance(11): 	 3.825134 4.209656 1.000000 
Instance(12): 	 3.840515 4.368958 0.999791 
Instance(13): 	 3.849304 4.466736 0.993343 
Instance(14): 	 3.871277 4.445862 0.996020 
Instance(15): 	 3.597717 4.398621 0.998390 
Instance(16): 	 3.710876 4.459045 0.996065 
Instance(17): 	 3.763611 4.414001 0.998743 
Instance(18): 	 3.671326 3.975647 0.999998 
Instance(19): 	 3.785583 4.288757 0.999997 
Instance(20): 	 3.219788 4.262390 0.803602 
Instance(21): 	 3.684509 4.489807 0.992861 
Instance(22): 	 3.778992 4.201965 1.000000 
Instance(23): 	 3.763611 4.524963 0.983047 
Instance(24): 	 3.840515 4.133850 1.000000 
Instance(25): 	 3.630676 4.668884 0.935606 
Instance(26): 	 3.727356 4.251404 0.999998 
Instance(27): 	 3.621887 4.908386 0.745494 
Instance(28): 	 3.644958 4.797424 0.836105 
Instance(29): 	 3.454895 4.331604 0.982550 
Instance(30): 	 3.699890 4.284363 0.999983 
Instance(31): 	 3.398865 4.488708 0.972732 
Instance(32): 	 3.789978 4.122864 1.000000 
Instance(33): 	 3.581238 4.288757 0.998590 
Instance(34): 	 3.508728 4.221741 0.990598 
Instance(35): 	 3.356018 4.431580 0.956278 
Instance(36): 	 3.601013 4.496399 0.992617 
Instance(37): 	 3.976746 4.616150 0.846810 
Instance(38): 	 4.087708 4.666687 0.598219 
Instance(39): 	 3.776794 4.423889 0.998276 
Instance(40): 	 3.858093 4.320618 0.999989 
Instance(41): 	 3.527405 4.270081 0.994456 
Instance(42): 	 3.726257 4.457947 0.996056 
Instance(43): 	 3.836121 4.221741 1.000000 
Instance(44): 	 3.904236 4.542542 0.959724 
Instance(45): 	 3.513123 4.571106 0.979524 
Instance(46): 	 3.833923 4.642517 0.896819 
Instance(47): 	 3.659241 4.780945 0.844223 
Instance(48): 	 3.985535 4.304138 1.000000 
Instance(49): 	 3.683411 4.036072 0.999998 
Instance(50): 	 3.904236 4.409607 0.998809 
Instance(51): 	 3.576843 4.382141 0.998054 
Instance(52): 	 4.032776 4.346985 0.999988 
Instance(53): 	 3.594421 4.152527 0.999015 
Instance(54): 	 3.524109 4.409607 0.994557 
Instance(55): 	 3.899841 4.564514 0.944607 
Instance(56): 	 3.818542 4.112976 1.000000 
Instance(57): 	 3.787781 4.307434 0.999991 
Instance(58): 	 3.903137 4.570007 0.939164 
Instance(59): 	 3.659241 4.093201 0.999971 
Instance(60): 	 3.441711 4.684265 0.947341 
Instance(61): 	 3.220886 4.753479 0.900256 
Instance(62): 	 3.819641 4.634827 0.909638 
Instance(63): 	 3.459290 4.084412 0.958741 
Instance(64): 	 3.747131 4.439270 0.997438 
Instance(65): 	 3.885559 4.406311 0.998970 
Instance(66): 	 3.803162 4.476624 0.992642 
Instance(67): 	 4.056946 4.303040 1.000000 
Instance(68): 	 3.686707 4.238220 0.999983 
Instance(69): 	 3.815247 4.488708 0.989990 
Instance(70): 	 3.829529 4.253601 1.000000 
Instance(71): 	 3.516418 4.074524 0.986518 
Instance(72): 	 3.798767 4.173401 1.000000 
Instance(73): 	 3.401062 4.178894 0.938532 
Instance(74): 	 3.713074 4.197571 0.999998 
Instance(75): 	 3.396667 4.277771 0.955444 
Instance(76): 	 3.911926 4.427185 0.997634 
Instance(77): 	 3.624084 4.400818 0.998788 
Instance(78): 	 3.770203 4.241516 1.000000 
Instance(79): 	 3.788879 4.351379 0.999894 
Instance(80): 	 3.764709 4.381042 0.999598 
Instance(81): 	 3.681213 4.467834 0.995446 
Instance(82): 	 3.761414 4.427185 0.998133 
Instance(83): 	 3.560364 4.099792 0.996468 
Instance(84): 	 3.832825 4.176697 1.000000 
Instance(85): 	 3.994324 4.466736 0.988265 
Instance(86): 	 3.728455 4.101990 1.000000 
Instance(87): 	 3.660339 3.995422 0.999991 
Instance(88): 	 3.871277 4.295349 0.999999 
Instance(89): 	 3.616394 4.273376 0.999537 
Instance(90): 	 3.854797 4.339294 0.999961 
Instance(91): 	 3.647156 4.428284 0.998100 
Instance(92): 	 3.985535 4.394226 0.999417 
Instance(93): 	 3.800964 4.385437 0.999542 
Instance(94): 	 3.658142 4.400818 0.999056 
Instance(95): 	 3.657043 4.174500 0.999942 
Instance(96): 	 3.549377 4.564514 0.981358 
Instance(97): 	 3.570251 4.492004 0.992688 
Instance(98): 	 3.703186 4.133850 0.999999 
Instance(99): 	 3.608704 4.026184 0.999498 
Instance(100): 	 3.880066 4.643616 0.873439 
Instance(101): 	 3.803162 4.433777 0.997596 
Instance(102): 	 3.803162 4.256897 1.000000 
Instance(103): 	 3.733948 4.106384 1.000000 
Instance(104): 	 3.730652 4.259094 0.999998 
Instance(105): 	 3.204407 4.411804 0.860851 
Instance(106): 	 3.797668 4.483215 0.991604 
Instance(107): 	 3.419739 4.353577 0.973475 
Instance(108): 	 3.827332 4.403015 0.999110 
Instance(109): 	 3.632874 4.281067 0.999740 
Instance(110): 	 3.513123 4.075623 0.985461 
Instance(111): 	 3.908630 4.346985 0.999956 
Instance(112): 	 3.331848 4.465637 0.949342 
Instance(113): 	 3.942688 4.501892 0.977631 
Instance(114): 	 3.397766 4.159119 0.930599 
Instance(115): 	 3.590027 4.154724 0.998842 
Instance(116): 	 3.927307 4.192078 1.000000 
Instance(117): 	 3.705383 4.337097 0.999911 
Instance(118): 	 3.648254 4.218445 0.999889 
Instance(119): 	 3.527405 4.454651 0.993461 
Instance(120): 	 3.744934 4.575500 0.965865 
Instance(121): 	 3.558167 4.631531 0.961919 
Instance(122): 	 3.908630 4.567810 0.939436 
Instance(123): 	 3.570251 4.292053 0.998099 
Instance(124): 	 4.149231 4.574402 0.714712 
Instance(125): 	 3.914124 4.403015 0.999093 
Instance(126): 	 3.680115 4.190979 0.999983 
Instance(127): 	 3.800964 4.751282 0.794823 
Instance(128): 	 3.716370 4.638123 0.936493 
Instance(129): 	 3.560364 4.372253 0.997440 
Instance(130): 	 3.574646 4.528259 0.988117 
Instance(131): 	 3.773499 4.489807 0.991009 
Instance(132): 	 3.425232 4.206360 0.959490 
Instance(133): 	 3.566956 4.586487 0.975820 
Instance(134): 	 3.900940 4.591980 0.919734 
Instance(135): 	 3.707581 4.115173 0.999999 
Instance(136): 	 3.560364 4.843567 0.833622 
Instance(137): 	 3.559265 4.689758 0.936415 
Instance(138): 	 3.167053 4.485413 0.857782 
Instance(139): 	 4.047058 4.428284 0.996420 
Instance(140): 	 3.818542 4.482117 0.991257 
Instance(141): 	 3.487854 4.195374 0.984489 
Instance(142): 	 3.794373 4.412903 0.998761 
Instance(143): 	 3.303284 4.307434 0.901668 
Instance(144): 	 3.876770 4.365662 0.999842 
Instance(145): 	 4.084412 4.538147 0.891575 
Instance(146): 	 3.686707 4.724915 0.881148 
Instance(147): 	 3.836121 3.994324 1.000000 
Instance(148): 	 3.930603 4.331604 0.999989 
Instance(149): 	 3.798767 4.247009 1.000000 
Instance(150): 	 3.836121 4.798523 0.706288 
Instance(151): 	 3.867981 4.260193 1.000000 
Instance(152): 	 3.615295 4.197571 0.999556 
Instance(153): 	 3.855896 4.500793 0.985026 
Instance(154): 	 3.829529 4.243713 1.000000 
Instance(155): 	 3.830627 4.356873 0.999881 
Instance(156): 	 4.051453 4.248108 1.000000 
Instance(157): 	 3.835022 4.257996 1.000000 
Instance(158): 	 3.982239 4.385437 0.999645 
Instance(159): 	 3.543884 4.292053 0.996341 
Instance(160): 	 3.658142 4.400818 0.999056 
Instance(161): 	 3.595520 4.252502 0.999077 
Instance(162): 	 3.490051 4.312927 0.989601 
Instance(163): 	 3.987732 4.299744 1.000000 
Instance(164): 	 3.537292 4.209656 0.994898 
Instance(165): 	 3.727356 4.257996 0.999998 
Instance(166): 	 3.866882 4.208557 1.000000 
Instance(167): 	 3.544983 4.406311 0.996130 
Instance(168): 	 3.432922 4.116272 0.946703 
Instance(169): 	 3.931702 4.468933 0.990550 
Instance(170): 	 3.540588 4.329407 0.996245 
Instance(171): 	 3.746033 4.365662 0.999772 
Instance(172): 	 3.822937 4.772156 0.752281 
Instance(173): 	 3.643860 4.382141 0.999329 
Instance(174): 	 3.687805 4.120667 0.999995 
Instance(175): 	 3.663635 4.406311 0.998938 
Instance(176): 	 3.381287 4.546936 0.966649 
Instance(177): 	 3.115417 4.285461 0.706066 
Instance(178): 	 3.310974 4.387634 0.927572 
Instance(179): 	 3.669128 4.311829 0.999909 
Instance(180): 	 3.856995 4.411804 0.998751 
